name,budget,placeType,travelers,duration,description,latitude,longitude
Prague 5,3510,City,Friends,3,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,50.12,14.4199
Miami Beach,5190,Beach,Solo,4,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",25.8331,-80.1146
Tulum,3154,Beach,Couple,6,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,20.384,-87.6265
Toronto,1650,City,Friends,9,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",43.6335,-79.4156
Zurich,3151,City,Solo,12,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,47.3761,8.5562
Chicago,1848,City,Solo,12,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",41.8906,-87.6107
Athens,1315,Historical,Solo,8,"Ideal for museums, architecture and timeless charm. Good for independent travel.",33.9907,-83.4202
Andes,1089,Mountains,Solo,2,A mountain retreat with fresh air and adventure activities. Good for independent travel.,5.6743,-75.8402
Alps Village,1080,Mountains,Family,7,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,33.9217,-83.4225
Hampi,2179,Historical,Family,7,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",15.3231,76.5062
Bali 8,1849,Beach,Couple,9,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-8.2123,115.1657
Machu Picchu North,2068,Historical,Friends,6,A destination full of ancient sites and local history. Fun for group travel and activities.,-13.1906,-72.5857
Copenhagen,2605,City,Friends,2,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",55.6485,12.6165
Galapagos Central,1885,Nature,Couple,11,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,40.712,-3.3764
Langkawi,4152,Beach,Family,5,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,6.3661,99.7783
Hawaii,5061,Beach,Friends,5,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,19.5906,-155.4136
Mount Fuji Central,2776,Mountains,Solo,5,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",35.3566,138.7338
Berlin North,3147,City,Friends,9,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",52.5627,13.4354
Lisbon 1,1220,City,Solo,8,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,38.6638,-9.1399
Dublin 9,3274,City,Solo,11,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",53.3096,-6.2731
Varanasi,822,Historical,Family,8,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",25.3826,83.0516
Slovenia,3191,Nature,Friends,8,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,46.107,14.7699
Maldives,3909,Beach,Family,7,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,3.6822,73.258
Tokyo,2816,City,Couple,4,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,35.7153,139.7196
Seychelles,4218,Beach,Solo,6,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,-4.6571,55.4132
Athens,2445,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,33.9465,-83.3439
Sydney 8,3066,City,Solo,8,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",-33.8535,151.1587
Norway Fjords 6,924,Nature,Couple,9,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",61.0442,5.7731
Jaipur East,1720,Historical,Couple,5,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",26.92,75.7962
Miami Beach,5487,Beach,Family,8,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,25.7832,-80.137
Uganda,1043,Nature,Family,5,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,1.4865,32.1692
San Francisco 7,3103,City,Family,9,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",37.8128,-122.4477
Rome,703,Historical,Solo,5,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",41.9189,12.454
Himachal Hills,3499,Mountains,Family,6,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",0.0,0.0
Iceland,2353,Nature,Family,4,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,65.0113,-18.0705
Pantanal North,2592,Nature,Couple,7,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",-17.6874,-57.4078
Kodaikanal,753,Mountains,Solo,6,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",10.2407,77.497
Queenstown,1492,Mountains,Couple,6,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",-45.0399,168.6124
Hawaii 5,4090,Beach,Solo,3,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",19.5664,-155.387
Santorini,1046,Beach,Family,8,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,36.4142,25.4863
Austria Alps,3261,Mountains,Solo,6,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",47.2249,13.5252
Ooty Hills Central,1453,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",11.416,76.7389
Pantanal,1931,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-17.6289,-57.4234
Rocky Mountains North,2999,Mountains,Friends,2,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",43.3773,-110.905
Slovenia West,663,Nature,Couple,8,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",46.1122,14.7685
Uganda Central,2617,Nature,Solo,8,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",1.5239,32.2422
Prague,2112,City,Couple,10,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,50.0734,14.4125
Costa Rica,1363,Nature,Solo,6,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,10.2894,-84.0602
Cairo,697,Historical,Couple,5,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",30.0476,31.2738
Dubai,3085,City,Family,3,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",25.1239,55.2187
Hampi,2373,Historical,Friends,4,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",15.3342,76.4509
Hong Kong,3896,City,Solo,11,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,22.3073,114.1545
Prague East,3284,City,Family,3,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",50.0451,14.4147
Lisbon 7,2985,City,Couple,5,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",38.7447,-9.1677
Dubai Coast,1091,Beach,Family,5,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,25.2318,55.3229
Pantanal East,1748,Nature,Solo,6,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,-17.7074,-57.4987
Amazon Rainforest,1253,Nature,Couple,6,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-5.4396,-74.2718
Nice Coast,5496,Beach,Solo,10,A scenic beach getaway with water sports and sunsets. Good for independent travel.,-30.7847,30.369
Barcelona,1608,City,Solo,11,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",41.3849,2.2133
Goa East,1571,Beach,Family,6,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",15.2523,74.057
Uganda East,2816,Nature,Couple,12,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",1.5067,32.2398
Istanbul,1707,City,Couple,12,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",41.0464,28.9956
Sikkim 8,2524,Mountains,Friends,7,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",27.6078,88.4477
Tulum,3298,Beach,Solo,5,A scenic beach getaway with water sports and sunsets. Good for independent travel.,20.4711,-87.6784
Chicago 7,876,City,Solo,10,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",41.9166,-87.5809
Toronto,3026,City,Family,10,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",43.672,-79.3899
Nice Coast,2096,Beach,Family,10,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",-30.8782,30.3477
Ooty Hills 3,3414,Mountains,Solo,5,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",11.4165,76.6613
Machu Picchu,2919,Historical,Couple,6,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",-13.1189,-72.5133
Langkawi,1514,Beach,Couple,7,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,6.3287,99.749
Hawaii,4179,Beach,Family,10,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,19.5955,-155.4527
Manali,1778,Mountains,Family,4,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",32.2819,77.2082
Sydney,2341,City,Family,5,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",-33.8798,151.2432
Bukhara,2655,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",39.808,64.4112
Canada Wilderness 6,1115,Nature,Couple,5,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,51.2061,-115.5438
Kuala Lumpur North,2498,City,Couple,7,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",3.1299,101.6721
Nice Coast,4366,Beach,Couple,3,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-30.8052,30.3481
Norway Fjords,3078,Nature,Couple,11,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",61.0351,5.7965
Himachal Hills,3154,Mountains,Friends,2,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,0.0,0.0
Sikkim Nature 3,1198,Nature,Friends,6,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",27.3147,88.5195
Coorg,1186,Nature,Family,8,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",12.4107,75.6531
Petra Central,667,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",30.3294,35.4624
Kerala 1,2449,Nature,Couple,12,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,10.356,76.5108
Rome,3500,City,Friends,4,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.8484,12.5057
Samarkand North,2117,Historical,Friends,8,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",39.698,66.9301
Prague Old Town,2959,Historical,Family,2,A destination full of ancient sites and local history. Comfortable for family travel.,50.0997,14.3942
Phuket,5901,Beach,Family,9,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,7.9424,98.3521
Milan,2928,City,Solo,2,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",45.5046,9.1673
Manali East,2445,Mountains,Couple,6,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",32.2632,77.1923
Austria Alps 7,3487,Mountains,Family,8,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",47.2474,13.4899
Machu Picchu,2890,Historical,Family,6,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",-13.1459,-72.5886
Nepal Himalayas,3400,Mountains,Couple,3,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",27.9467,86.9155
Hawaii,3772,Beach,Friends,3,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,19.5631,-155.3961
Langkawi,1722,Beach,Friends,4,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,6.3864,99.7811
Iceland 5,2141,Nature,Friends,12,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",64.9678,-18.1537
Langkawi,1087,Beach,Friends,6,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,6.3778,99.7816
Coorg,3019,Nature,Couple,5,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,12.3775,75.672
Dubai East,1930,City,Solo,8,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,25.1081,55.2278
Hawaii 5,1562,Beach,Solo,4,A scenic beach getaway with water sports and sunsets. Good for independent travel.,19.5663,-155.4111
Scotland Highlands 7,1626,Mountains,Family,5,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",57.2995,-4.2003
Himachal Hills 2,2773,Mountains,Friends,3,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,0.0,0.0
Manali 7,2903,Mountains,Family,6,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,32.2483,77.1608
Sri Lanka Coast,4774,Beach,Friends,3,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,5.9371,80.4258
Jerusalem 9,1893,Historical,Couple,5,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",31.7735,35.1964
Dolomites 2,1080,Mountains,Family,8,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",46.287,12.0368
Varanasi,1495,Historical,Family,6,A destination full of ancient sites and local history. Comfortable for family travel.,25.3308,82.9916
Bora Bora,3174,Beach,Couple,6,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-16.4969,-151.7867
Gulmarg 1,1191,Mountains,Solo,3,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",34.0921,74.4266
Ephesus,2616,Historical,Family,6,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",37.9582,27.3771
Nepal Himalayas North,3062,Mountains,Couple,4,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,27.975,86.9561
Iceland 2,2112,Nature,Family,5,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",64.9762,-18.076
Swiss Alps,3461,Mountains,Solo,5,A mountain retreat with fresh air and adventure activities. Good for independent travel.,46.6717,8.7748
Canada Wilderness South,2746,Nature,Couple,7,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,51.1483,-115.6115
Scotland Highlands,2742,Mountains,Couple,8,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,57.3717,-4.2622
Istanbul Old Town,1336,Historical,Friends,6,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",50.0647,19.9271
Dolomites South,2260,Mountains,Friends,5,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",46.2587,12.042
Miami Beach,2101,Beach,Friends,8,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,25.7856,-80.1227
Iceland,905,Nature,Friends,5,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",64.9771,-18.0997
Berlin 9,1864,City,Family,7,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",52.4722,13.3681
Swiss Alps 4,1196,Mountains,Friends,7,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",46.6759,8.7356
Norway Fjords Central,1954,Nature,Family,8,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",61.0102,5.8413
Jaipur,2499,Historical,Family,7,A destination full of ancient sites and local history. Comfortable for family travel.,26.9363,75.7798
Galapagos,792,Nature,Friends,4,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",40.7287,-3.3064
Patagonia,3179,Mountains,Family,8,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",31.5055,-110.7403
Coorg,2195,Nature,Friends,5,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,12.3934,75.7074
Cancun,2725,Beach,Solo,5,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,21.1699,-86.873
Angkor Wat,707,Historical,Solo,8,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",13.3752,103.8216
Austria Alps,1045,Mountains,Couple,8,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",47.2965,13.5843
Alps Village,1237,Mountains,Couple,4,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,33.9825,-83.3639
Hampi,2846,Historical,Family,5,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",15.3613,76.471
Andaman Islands East,2644,Nature,Friends,11,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,12.5624,92.8725
Phuket,3522,Beach,Friends,8,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",7.9107,98.3802
Paris,2208,City,Couple,6,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,48.8508,2.3
Bukhara 5,637,Historical,Family,8,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",39.8205,64.4167
Toronto Central,1572,City,Family,8,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",43.6321,-79.4329
Myrtle Beach,2807,Beach,Friends,7,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,33.6941,-78.8724
Canada Wilderness,3156,Nature,Family,11,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",51.1978,-115.5866
Maui,1904,Beach,Family,10,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,20.8436,-156.323
Sikkim Nature 1,1813,Nature,Couple,3,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",27.3382,88.5741
Goa,3205,Beach,Family,5,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,15.2555,74.0478
Maldives West,2779,Beach,Friends,8,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",3.7303,73.2527
Athens,928,Historical,Family,8,A destination full of ancient sites and local history. Comfortable for family travel.,33.9721,-83.3532
Toronto,1543,City,Friends,5,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",43.6828,-79.3835
Myrtle Beach,3024,Beach,Friends,3,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,33.7095,-78.9321
Langkawi 1,3556,Beach,Friends,8,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,6.3567,99.8214
Barcelona,3415,City,Friends,6,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,41.3374,2.2194
Goa,4556,Beach,Couple,8,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,15.2774,74.1353
Amsterdam 8,836,City,Couple,2,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",52.3421,4.8907
Aspen,1345,Mountains,Couple,9,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",39.1578,-106.7814
Gulmarg 6,1215,Mountains,Solo,9,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",34.0626,74.3466
Alps Village,787,Mountains,Couple,8,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",33.9505,-83.4235
Hampi 4,2823,Historical,Family,7,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",15.2944,76.4394
Madagascar,2418,Nature,Family,7,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",-18.9367,46.4884
Amazon Rainforest Central,1711,Nature,Friends,7,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-5.4931,-74.2873
Pantanal,576,Nature,Couple,12,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,-17.6749,-57.4365
Kuala Lumpur,1577,City,Friends,10,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,3.1341,101.6951
Kashmir Valley 2,3325,Mountains,Friends,7,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",25.2596,55.3094
Tokyo South,1531,City,Couple,2,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",35.6701,139.797
Tokyo,3494,City,Friends,9,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",35.7264,139.7685
Tulum West,1107,Beach,Solo,6,A scenic beach getaway with water sports and sunsets. Good for independent travel.,20.4247,-87.6872
Bangkok 5,2311,City,Friends,2,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",13.738,100.46
Dublin,1119,City,Family,5,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,53.3386,-6.2728
Zanzibar 4,2552,Beach,Friends,6,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-6.0624,39.2917
Zanzibar,1864,Beach,Friends,8,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,-6.1118,39.3347
Zanzibar 9,5134,Beach,Friends,8,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-6.1213,39.3693
Kashmir Valley 6,2222,Mountains,Family,8,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",25.2318,55.337
Munnar East,2036,Nature,Couple,11,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",10.0493,77.0264
Rome,1765,Historical,Solo,6,A destination full of ancient sites and local history. Good for independent travel.,41.898,12.4838
Prague 5,1679,City,Couple,7,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,50.1269,14.4111
Galapagos,886,Nature,Couple,3,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",40.719,-3.2981
Scotland Highlands 2,1654,Mountains,Couple,6,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,57.3492,-4.2746
Kenya Safari 8,1829,Nature,Solo,10,"A nature-rich trip with forests, wildlife and calm landscapes. Good for independent travel.",-1.8147,36.7878
Uganda,2860,Nature,Solo,9,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",1.5678,32.2526
Luxor Central,1528,Historical,Solo,7,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",25.7516,32.6372
Ooty Hills,2007,Mountains,Solo,4,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",11.4405,76.732
Kuala Lumpur,2625,City,Friends,11,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",3.1426,101.6858
Teotihuacan East,1206,Historical,Friends,3,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",19.6904,-98.9138
Toronto West,1875,City,Friends,3,A fast-paced city with iconic landmarks and great transit. Fun for group travel and activities.,43.6654,-79.3746
Maui 7,5581,Beach,Friends,6,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,20.8514,-156.2922
Slovenia,1492,Nature,Couple,4,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,46.1339,14.8372
New Zealand,2194,Nature,Solo,9,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-41.4946,172.8314
Austria Alps 8,1948,Mountains,Solo,4,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",47.2651,13.5663
Athens,1417,Historical,Couple,7,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",33.9298,-83.4098
Seoul,1978,City,Couple,2,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",37.5541,127.0015
Rome,1456,Historical,Family,7,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",41.9028,12.5075
Canada Wilderness 7,3051,Nature,Friends,5,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,51.1339,-115.5241
Iceland 4,1197,Nature,Family,3,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",65.019,-18.0977
Berlin,1072,City,Solo,8,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",52.549,13.402
Nepal Himalayas 8,2259,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",28.0246,86.8808
Dubai,2850,City,Couple,9,"A lively urban destination with food, shopping and nightlife. Great for romantic trips.",25.1148,55.1896
Uganda,2506,Nature,Family,9,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,1.5027,32.2349
Scotland Highlands North,1667,Mountains,Family,6,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",57.2945,-4.2838
Canada Wilderness,1121,Nature,Couple,8,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,51.1525,-115.5644
Samarkand Central,2309,Historical,Couple,3,A destination full of ancient sites and local history. Great for romantic trips.,39.606,67.0217
Tanzania 3,2720,Nature,Friends,5,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,-6.5468,35.7442
Maui 3,5291,Beach,Family,5,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,20.8317,-156.3243
Aspen,1454,Mountains,Solo,7,A mountain retreat with fresh air and adventure activities. Good for independent travel.,39.1572,-106.853
Teotihuacan,1721,Historical,Friends,3,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",19.6537,-98.8545
San Francisco 4,3280,City,Family,11,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",37.8271,-122.4542
Maldives 9,1651,Beach,Family,10,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",3.7553,73.2335
Himachal Hills,2712,Mountains,Friends,9,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",0.0,0.0
Vienna,1905,City,Solo,8,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",48.1616,16.3924
Gold Coast South,3661,Beach,Friends,10,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,-27.9737,153.3812
Pantanal 9,2114,Nature,Family,12,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,-17.6601,-57.4444
Sydney 4,2649,City,Solo,9,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,-33.8242,151.2358
Athens,2714,Historical,Friends,8,A destination full of ancient sites and local history. Fun for group travel and activities.,33.9875,-83.403
Teotihuacan 5,2489,Historical,Family,3,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",19.688,-98.8978
Amazon Rainforest,3146,Nature,Friends,10,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-5.4707,-74.273
Munnar,2110,Nature,Couple,9,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",10.0656,77.0292
Delhi Heritage,2462,Historical,Couple,2,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",28.6258,77.2371
Rome 2,3692,City,Solo,9,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,41.9187,12.5257
Samarkand,2151,Historical,Couple,6,A destination full of ancient sites and local history. Great for romantic trips.,39.6923,67.0008
Amazon Rainforest,1092,Nature,Couple,5,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",-5.4814,-74.3606
Teotihuacan 1,1081,Historical,Couple,3,A destination full of ancient sites and local history. Great for romantic trips.,19.7117,-98.9182
Berlin,2842,City,Friends,10,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",52.5061,13.4154
Sikkim Nature,2179,Nature,Friends,10,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,27.3168,88.5818
Austria Alps,900,Mountains,Couple,4,"Great for hiking, cool weather and scenic viewpoints. Great for romantic trips.",47.2784,13.5707
Bali North,3712,Beach,Family,4,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,-8.188,115.2057
Dubai Coast,4730,Beach,Couple,8,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",25.2298,55.3009
Nepal Himalayas,2450,Mountains,Solo,3,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",28.0132,86.9013
Kashmir Valley,2848,Mountains,Friends,5,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",25.238,55.2953
New Zealand,2977,Nature,Friends,7,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,-41.5385,172.842
Slovenia 8,1031,Nature,Family,12,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,46.1008,14.8554
Bukhara,1553,Historical,Couple,7,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",39.7266,64.3913
Berlin Central,3820,City,Solo,5,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",52.4969,13.3789
Scotland Highlands,746,Mountains,Couple,5,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,57.3447,-4.2839
Ooty Hills East,725,Mountains,Family,3,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",11.4042,76.6904
Slovenia East,1219,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",46.0838,14.8397
Hong Kong,2772,City,Couple,4,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",22.2483,114.1674
Athens 9,2914,Historical,Family,7,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",33.9635,-83.3662
